id,fileName,japaneseName,type,description,page,usage
mod_187,components/dtf/templates/DtfLogicTool.tsx,DTF計算ロジック管理,page/tool,"DTFプリントの原価計算ロジックを可視化・調整するためのツールです。",dtf-logic-tool,""
mod_057,components/data-io/templates/DataIO.tsx,データ入出力ツール,page/tool,"在庫CSVのインポートや、データベース全体のバックアップ（エクスポート）を行います。",data-io,""
mod_058,components/image-file-name-converter/templates/ImageFileNameConverter.tsx,ファイル名変換ツール,page/tool,"複数の画像ファイル名をルールに基づいて一括で変更し、ZIPファイルとしてダウンロードします。",image-converter,""
mod_059,components/image-batch-linker/templates/ImageBatchLinker.tsx,商品画像一括紐付けツール,page/tool,"AIを使用して、商品画像と商品を自動で紐付けます。",image-batch-linker,""
mod_062,components/usermanagement/templates/UserManager.tsx,ユーザー管理ツール,page/tool,"ユーザーの追加、編集、役割の割り当てを行います。",user-manager,""
mod_063,components/usermanagement/templates/PermissionManager.tsx,権限管理ツール,page/tool,"ロール（役割）ごとの機能アクセスとデータ操作権限を詳細に設定します。",permission-manager,""
mod_064,components/id-manager/templates/IdManager.tsx,ID形式管理ツール,page/tool,"各テーブルのID形式（プレフィックス、桁数）を一括で管理・適用します。",id-manager,""
mod_065,components/google-api-settings/templates/GoogleApiSettingsTool.tsx,Google連携設定ツール,page/tool,"Google DriveやGmailとの連携に必要な認証と設定を行います。",google-api-settings,""
mod_068,components/emailmanagement/templates/EmailSettingsTool.tsx,メール全般設定ツール,page/tool,"署名、不在通知、転送設定など、メール機能全体の動作を管理します。",email-settings,""
mod_069,components/display-settings/templates/DisplaySettingsTool.tsx,表示設定ツール,page/tool,"アプリケーションの配色、表示密度、フォントサイズなどの外観をカスタマイズします。",display-settings,""
mod_060,components/pdf-template-manager/templates/PdfTemplateManager.tsx,PDFテンプレート管理ツール,page/tool,"見積書や請求書などのPDF帳票のレイアウトをカスタマイズします。",pdf-template-manager,""
mod_061,components/pdf-item-group-manager/templates/PdfItemGroupManager.tsx,PDF明細項目管理ツール,page/tool,"PDF帳票の「グループ化された明細」ブロックに表示される項目を管理します。",pdf-item-group-manager,""
mod_071,components/pdf-preview-settings/templates/PdfPreviewSettingsTool.tsx,PDFプレビュー設定ツール,page/tool,"各ツールに埋め込まれたPDFプレビューの初期ズーム率などを管理します。",pdf-preview-settings,""
mod_072,components/backup-manager/templates/BackupManager.tsx,自動バックアップ設定ツール,page/tool,"データベースの自動バックアップの動作を制御します。",backup-manager,""
mod_083,components/system-logs/templates/LogViewer.tsx,システムログビューア,page/tool,"アプリケーションで記録されたエラーやイベント、データアクセスの履歴を確認します。",system-logs,""
mod_189,components/language-manager/templates/LanguageManager.tsx,言語管理ツール,page/tool,"アプリケーション内のテキストを多言語で管理します。",language-manager,""
mod_075,components/dev-management/templates/DevManagementTool.tsx,開発管理ツール,page/tool,"開発ロードマップ、開発憲法、ガイドライン、AIによるタスク生成などを管理します。",dev-management,""
mod_076,components/devtools/templates/DevTools.tsx,開発者向けツール,page/tool,"アプリケーションの動作モード（ライブ/モック/CSV）を切り替えます。",dev-tools,""
mod_077,components/dev-lock-manager/templates/DevLockManager.tsx,開発ロック管理ツール,page/tool,"AIアシスタントによる変更をコンポーネント単位で制御します。",dev-lock-manager,""
mod_078,components/app-management/templates/AppManager.tsx,アプリケーション管理ツール,page/tool,"新しいウェブアプリの雛形を作成したり、既存のアプリを管理します。",app-manager,""
mod_079,components/app-management/templates/ToolExporter.tsx,ツールエクスポート,page/tool,"Google Driveに保管されているツールパッケージをダウンロードします。",tool-exporter,""
mod_084,components/tool-guide/templates/ToolGuide.tsx,使い方ガイド,page/tool,"各種ツールの目的と操作手順を解説します。",tool-guide,""
mod_081,components/tool-dependency-manager/templates/ToolDependencyManager.tsx,ツール依存性管理,page/tool,"各ツールのデータ依存関係と読み込み戦略をマトリクス形式で定義します。",tool-dependency-manager,""
mod_074,components/estimator/CalculationLogicManager.tsx,計算ロジック管理ツール,page/tool,"アプリケーション内の計算ロジック（原価計算など）を可視化・調整します。",calculation-logic-manager,""
mod_082,components/tool-dependency-scanner/templates/ToolDependencyScanner.tsx,依存関係スキャンツール,page/tool,"システムログをスキャンし、未定義または更新が必要なデータ依存関係を検出・承認します。",tool-dependency-scanner,""
mod_190,components/architecture/templates/ArchitectureDesigner.tsx,アーキテクチャ設計,page/tool,"アプリケーションのアーキテクチャを再設計し、リファクタリングを実行します。",architecture-designer,""
mod_php_info,components/php-info-viewer/templates/PhpInfoViewer.tsx,PHP情報ビューア,page/tool,"サーバーのPHPバージョンと設定情報を確認します。",php-info-viewer,""
mod_sys_diag,components/system-diagnostics/templates/SystemDiagnosticsTool.tsx,システム診断,page/tool,"アプリケーションの接続性や健全性を診断し、問題の特定を支援します。",system-diagnostics,""
mod_085,components/module-catalog/templates/ModuleCatalogTool.tsx,モジュールカタログ,page/tool,"このツール自体です。アプリケーションを構成するすべてのモジュールの一覧を表示します。",module-list,""
